Node_1,Node_2,travelers_sum
217,217,868189446.50442576
214,217,868189446.50442576
212,217,868189446.50442576
213,217,868189446.50442576
210,217,868189446.50442576
211,217,868189446.50442576
165,217,868189446.50442576
264,217,868189446.50442576
265,217,868189446.50442576
178,217,868189446.50442576
133,217,868189446.50442576
219,217,868189446.50442576
91,217,868189446.50442576
131,217,868189446.50442576
130,217,868189446.50442576
137,217,868189446.50442576
136,217,868189446.50442576
129,217,868189446.50442576
139,217,868189446.50442576
138,217,868189446.50442576
93,217,868189446.50442576
24,217,868189446.50442576
25,217,868189446.50442576
26,217,868189446.50442576
92,217,868189446.50442576
21,217,868189446.50442576
22,217,868189446.50442576
23,217,868189446.50442576
160,217,868189446.50442576
198,217,868189446.50442576
28,217,868189446.50442576
29,217,868189446.50442576
94,217,868189446.50442576
289,217,868189446.50442576
288,217,868189446.50442576
221,217,868189446.50442576
281,217,868189446.50442576
280,217,868189446.50442576
163,217,868189446.50442576
285,217,868189446.50442576
284,217,868189446.50442576
287,217,868189446.50442576
286,217,868189446.50442576
10,217,868189446.50442576
263,217,868189446.50442576
262,217,868189446.50442576
122,217,868189446.50442576
12,217,868189446.50442576
267,217,868189446.50442576
126,217,868189446.50442576
266,217,868189446.50442576
127,217,868189446.50442576
2,217,868189446.50442576
128,217,868189446.50442576
269,217,868189446.50442576
268,217,868189446.50442576
118,217,868189446.50442576
59,217,868189446.50442576
58,217,868189446.50442576
132,217,868189446.50442576
55,217,868189446.50442576
54,217,868189446.50442576
57,217,868189446.50442576
56,217,868189446.50442576
51,217,868189446.50442576
50,217,868189446.50442576
53,217,868189446.50442576
52,217,868189446.50442576
298,217,868189446.50442576
299,217,868189446.50442576
296,217,868189446.50442576
297,217,868189446.50442576
295,217,868189446.50442576
294,217,868189446.50442576
292,217,868189446.50442576
293,217,868189446.50442576
290,217,868189446.50442576
146,217,868189446.50442576
199,217,868189446.50442576
179,217,868189446.50442576
134,217,868189446.50442576
195,217,868189446.50442576
194,217,868189446.50442576
197,217,868189446.50442576
196,217,868189446.50442576
191,217,868189446.50442576
190,217,868189446.50442576
193,217,868189446.50442576
192,214,868189446.50442576
115,217,868189446.50442576
114,217,868189446.50442576
88,217,868189446.50442576
89,217,868189446.50442576
274,217,868189446.50442576
110,217,868189446.50442576
113,217,868189446.50442576
112,217,868189446.50442576
278,217,868189446.50442576
83,217,868189446.50442576
80,217,868189446.50442576
81,217,868189446.50442576
119,217,868189446.50442576
87,217,868189446.50442576
84,217,868189446.50442576
85,217,868189446.50442576
117,217,868189446.50442576
140,217,868189446.50442576
108,217,868189446.50442576
256,217,868189446.50442576
206,217,868189446.50442576
226,217,868189446.50442576
257,217,868189446.50442576
35,217,868189446.50442576
3,217,868189446.50442576
7,217,868189446.50442576
170,217,868189446.50442576
300,217,868189446.50442576
301,217,868189446.50442576
302,217,868189446.50442576
245,217,868189446.50442576
244,217,868189446.50442576
247,217,868189446.50442576
109,217,868189446.50442576
241,217,868189446.50442576
240,217,868189446.50442576
243,217,868189446.50442576
242,217,868189446.50442576
102,217,868189446.50442576
103,217,868189446.50442576
100,217,868189446.50442576
101,217,868189446.50442576
249,217,868189446.50442576
248,217,868189446.50442576
104,217,868189446.50442576
105,217,868189446.50442576
39,217,868189446.50442576
38,217,868189446.50442576
33,217,868189446.50442576
31,217,868189446.50442576
30,217,868189446.50442576
37,217,868189446.50442576
36,217,868189446.50442576
177,217,868189446.50442576
34,217,868189446.50442576
246,217,868189446.50442576
223,217,868189446.50442576
169,217,868189446.50442576
176,217,868189446.50442576
60,217,868189446.50442576
258,217,868189446.50442576
259,217,868189446.50442576
66,217,868189446.50442576
67,217,868189446.50442576
68,217,868189446.50442576
253,217,868189446.50442576
250,217,868189446.50442576
251,217,868189446.50442576
173,217,868189446.50442576
172,217,868189446.50442576
254,217,868189446.50442576
255,217,868189446.50442576
222,217,868189446.50442576
271,217,868189446.50442576
180,217,868189446.50442576
107,217,868189446.50442576
182,217,868189446.50442576
183,217,868189446.50442576
96,217,868189446.50442576
181,217,868189446.50442576
186,217,868189446.50442576
187,217,868189446.50442576
184,217,868189446.50442576
185,217,868189446.50442576
188,217,868189446.50442576
189,217,868189446.50442576
273,217,868189446.50442576
6,217,868189446.50442576
142,217,868189446.50442576
99,217,868189446.50442576
98,217,868189446.50442576
168,217,868189446.50442576
8,217,868189446.50442576
229,217,868189446.50442576
228,217,868189446.50442576
164,217,868189446.50442576
90,217,868189446.50442576
225,217,868189446.50442576
167,217,868189446.50442576
95,217,868189446.50442576
161,217,868189446.50442576
162,217,868189446.50442576
220,217,868189446.50442576
11,217,868189446.50442576
270,217,868189446.50442576
13,217,868189446.50442576
282,214,868189446.50442576
15,217,868189446.50442576
14,217,868189446.50442576
17,217,868189446.50442576
16,217,868189446.50442576
18,217,868189446.50442576
272,217,868189446.50442576
116,217,868189446.50442576
111,217,868189446.50442576
204,217,868189446.50442576
151,217,868189446.50442576
150,217,868189446.50442576
153,217,868189446.50442576
276,217,868189446.50442576
154,217,868189446.50442576
157,217,868189446.50442576
156,217,868189446.50442576
159,217,868189446.50442576
158,217,868189446.50442576
62,217,868189446.50442576
277,217,868189446.50442576
82,217,868189446.50442576
238,217,868189446.50442576
239,217,868189446.50442576
279,217,868189446.50442576
234,217,868189446.50442576
235,217,868189446.50442576
236,217,868189446.50442576
230,217,868189446.50442576
231,217,868189446.50442576
232,217,868189446.50442576
233,217,868189446.50442576
123,217,868189446.50442576
48,217,868189446.50442576
49,217,868189446.50442576
46,217,868189446.50442576
47,217,868189446.50442576
44,217,868189446.50442576
45,217,868189446.50442576
42,217,868189446.50442576
43,217,868189446.50442576
40,217,868189446.50442576
41,217,868189446.50442576
1,217,868189446.50442576
5,217,868189446.50442576
9,217,868189446.50442576
201,217,868189446.50442576
147,217,868189446.50442576
144,217,868189446.50442576
145,217,868189446.50442576
205,217,868189446.50442576
143,217,868189446.50442576
207,217,868189446.50442576
141,217,868189446.50442576
209,217,868189446.50442576
208,217,868189446.50442576
148,217,868189446.50442576
149,217,868189446.50442576
77,217,868189446.50442576
76,217,868189446.50442576
75,217,868189446.50442576
74,217,868189446.50442576
73,217,868189446.50442576
72,217,868189446.50442576
71,217,868189446.50442576
78,217,868189446.50442576
121,217,868189446.50442576
260,217,868189446.50442576
124,217,868189446.50442576
125,217,868189446.50442576
