1.01;Sudbury Town;-0.3156;51.5507;251;1.05;
1.2;South Harrow;-0.3521;51.5646;234;1.08;
0.85;Park Royal;-0.2841;51.527;193;0.74;
9.62;Farringdon;-0.1053;51.5203;92;9.4;
19.02;Bond Street;-0.1494;51.5142;28;17.0;
0.9;South Ruislip;-0.3988;51.5569;238;0.86;
6.83;Leyton;-0.0053;51.5566;153;6.46;
0.52;Ickenham;-0.4421;51.5619;134;0.46;
8.81;Highbury & Islington;-0.104;51.546;123;7.45;
11.03;Moorgate;-0.0886;51.5186;167;10.19;
0.43;Croxley;-0.4412;51.647;62;0.39;
1.09;Debden;0.0838;51.6455;68;1.03;
1.72;Holland Park;-0.206;51.5075;127;1.65;
2.64;Southfields;-0.2066;51.4454;230;2.62;
1.15;Heathrow Terminal 4;-0.4476;51.4598;118;1.31;
16.06;South Kensington;-0.1738;51.4941;235;14.55;
3.4;Lancaster Gate;-0.1756;51.5119;149;3.28;
8.44;Chancery Lane;-0.1111;51.5185;48;7.59;
2.55;Highgate;-0.1458;51.5777;124;2.43;
2.82;Putney Bridge;-0.2089;51.4682;204;2.52;
0.69;West Finchley;-0.1883;51.6095;287;0.68;
43.19;Victoria;-0.1447;51.4965;272;39.06;
23.71;Paddington;-0.1755;51.5154;192;22.76;
1.09;Osterley;-0.3522;51.4813;189;1.06;
2.18;Warwick Avenue;-0.1835;51.5235;277;2.13;
2.21;Hounslow East;-0.3564;51.4733;131;2.06;
4.02;Stockwell;-0.123;51.4723;244;4.31;
1.27;Snaresbrook;0.0216;51.5808;229;1.33;
2.06;Rayners Lane;-0.3714;51.5753;209;1.92;
1.73;South Ealing;-0.3072;51.5011;233;1.6;
1.4;Woodside Park;-0.1856;51.6179;301;1.28;
2.36;North Acton;-0.2597;51.5237;181;2.29;
6.55;Whitechapel;-0.0612;51.5194;294;6.07;
1.14;Kensal Green;-0.225;51.5304;137;1.18;
3.2;East Finchley;-0.165;51.5874;77;3.09;
0.9;Cockfosters;-0.1496;51.6517;57;0.82;
0.43;Moor Park;-0.432;51.6294;168;0.4;
2.34;Wembley Central;-0.2963;51.5519;280;2.22;
0.94;Kensington (Olympia);-0.2106;51.4983;138;0.8;
1.99;Hounslow Central;-0.3665;51.4713;130;1.92;
0.94;Canons Park;-0.2947;51.6078;45;0.88;
0.6;Barkingside;0.0887;51.5856;16;0.56;
2.25;West Brompton;-0.1953;51.4872;286;2.0;
4.05;Richmond;-0.3013;51.4633;212;3.42;
2.83;Acton Town;-0.2801;51.5028;1;2.63;
2.2;Northolt;-0.3687;51.5483;177;2.08;
0.6;Chalfont & Latimer;-0.561;51.6679;46;0.58;
9.5;Angel;-0.1058;51.5322;7;8.28;
3.28;Plaistow;0.0172;51.5313;199;3.06;
0.24;Grange Hill;0.0923;51.6132;103;0.24;
1.35;Ravenscourt Park;-0.2359;51.4942;208;1.3;
1.33;Redbridge;0.0454;51.5763;210;1.3;
4.65;Tottenham Hale;-0.0594;51.5882;259;4.21;
21.22;Leicester Square;-0.1281;51.5113;151;17.56;
6.8;Tooting Broadway;-0.168;51.4275;257;6.24;
1.28;Stamford Brook;-0.2459;51.495;241;1.24;
17.42;Green Park;-0.1428;51.5067;107;14.31;
4.91;Wembley Park;-0.2795;51.5635;281;4.75;
0.0;Blackfriars;-0.1031;51.512;25;0.0;
6.29;High Street Kensington;-0.1925;51.5009;122;5.7;
3.98;Clapham South;-0.148;51.4527;56;3.84;
3.19;Hyde Park Corner;-0.1527;51.5027;133;2.88;
1.26;Elm Park;0.1977;51.5496;85;1.18;
3.96;Willesden Green;-0.2215;51.5492;296;3.85;
2.28;Harrow & Wealdston;-0.3351;51.5925;114;2.19;
0.51;Upminster Bridge;0.2343;51.5582;267;0.48;
2.76;Queen's Park;-0.2047;51.5341;205;2.76;
10.3;Charing Cross;-0.1247;51.508;49;9.22;
1.64;Queensbury;-0.2861;51.5942;206;1.53;
11.56;Covent Garden;-0.1243;51.5129;60;8.72;
1.78;Kilburn Park;-0.1939;51.5351;143;1.67;
42.53;Oxford Circus;-0.1415;51.515;191;34.57;
1.01;Kenton;-0.3162;51.5816;140;0.93;
0.48;Fairlop;0.0912;51.596;91;0.44;
4.66;Harrow-on-the-Hill;-0.3366;51.5793;115;4.09;
32.79;Liverpool Street;-0.0823;51.5178;156;30.85;
2.48;East Putney;-0.2112;51.4586;80;2.45;
4.34;Holloway Road;-0.1132;51.5526;128;3.71;
1.83;Northwick Park;-0.3184;51.5784;178;1.75;
1.61;Loughton;0.0558;51.6412;158;1.39;
2.06;Colindale;-0.2502;51.5955;58;2.07;
5.94;Balham;-0.1525;51.4431;12;5.52;
0.73;North Harrow;-0.3626;51.5846;184;0.7;
7.42;Walthamstow Central;-0.0195;51.583;273;6.89;
2.24;West Kensington;-0.2065;51.4907;292;2.39;
1.07;Upney;0.1014;51.5385;268;1.04;
2.58;Bayswater;-0.1879;51.5121;18;2.52;
1.64;Mornington Crescent;-0.1387;51.5342;170;2.67;
7.1;Mile End;-0.0332;51.5249;164;6.92;
1.39;Bromley-By-Bow;-0.0119;51.5248;36;1.36;
4.55;Finchley Road;-0.1803;51.5472;94;4.42;
0.46;Chorleywood;-0.5183;51.6543;53;0.45;
2.83;Colliers Wood;-0.1778;51.418;59;2.75;
2.33;Kennington;-0.1053;51.4884;136;2.19;
13.82;Baker Street;-0.1571;51.5226;11;13.19;
2.48;South Woodford;0.0275;51.5917;240;1.92;
0.47;North Ealing;-0.2887;51.5175;182;0.46;
4.07;Archway;-0.1353;51.5653;8;4.01;
1.92;South Wimbledon;-0.1919;51.4154;239;1.83;
2.42;Woodford;0.0341;51.607;300;2.47;
1.54;Shepherd's Bush (H);-0.2265;51.5058;226;1.46;
1.7;Hanger Lane;-0.2933;51.5302;112;1.66;
1.02;Wimbledon Park;-0.1992;51.4343;299;0.98;
1.02;Totteridge & Whetstone;-0.1791;51.6302;260;0.96;
4.99;Clapham Common;-0.1384;51.4618;54;4.06;
1.19;Harlesden;-0.2575;51.5362;113;1.09;
0.5;Ruislip Gardens;-0.4103;51.5606;220;0.5;
4.84;Barbican;-0.0979;51.5204;14;4.39;
2.09;Regent's Park;-0.1466;51.5234;211;1.68;
1.13;Amersham;-0.607;51.6736;6;0.97;
3.73;Kentish Town;-0.1402;51.5507;139;3.48;
1.42;Dollis Hill;-0.2387;51.552;71;1.66;
3.07;Turnham Green;-0.2547;51.4951;264;2.76;
0.82;Watford;-0.4177;51.6573;279;0.75;
3.97;Golders Green;-0.1941;51.5724;100;3.84;
1.01;Rickmansworth;-0.4733;51.6404;213;1.02;
1.54;Arsenal;-0.1059;51.5586;10;1.53;
1.07;Perivale;-0.3232;51.5366;195;1.01;
11.27;Tower Hill;-0.0766;51.5098;262;10.31;
5.67;Goodge Street;-0.1347;51.5205;102;4.95;
18.26;Euston;-0.1337;51.5282;89;17.06;
0.97;Boston Manor;-0.325;51.4956;30;0.92;
6.08;Marylebone;-0.1631;51.5225;163;5.32;
10.56;Embankment;-0.1223;51.5074;87;9.23;
9.07;Elephant & Castle;-0.1001;51.4943;84;8.65;
0.57;West Harrow;-0.3533;51.5795;290;0.5;
0.84;Ruislip Manor;-0.4125;51.5732;221;0.76;
5.39;Leytonstone;0.0083;51.5683;154;5.06;
8.24;Ealing Broadway;-0.3017;51.5152;72;7.86;
3.65;"Heathrow Terminals 1 & 2 & 3";-0.4524;51.4713;117;4.07;
3.52;St. John's Wood;-0.174;51.5347;248;3.23;
5.8;Southwark;-0.1052;51.501;232;5.26;
3.75;Bermondsey;-0.0637;51.4979;23;3.63;
0.61;Mill Hill East;-0.2103;51.6082;165;0.48;
0.23;Chigwell;0.0755;51.6177;51;0.23;
11.16;Shepherd's Bush (C);-0.2187;51.5046;225;10.44;
4.59;Queensway;-0.1877;51.5107;207;4.27;
5.25;Temple;-0.1141;51.5111;254;4.75;
3.22;Barons Court;-0.2139;51.4905;17;3.31;
1.06;Chiswick Park;-0.2678;51.4946;52;0.91;
3.21;Aldgate;-0.0755;51.5143;2;3.02;
2.15;Arnos Grove;-0.1331;51.6164;9;2.01;
2.08;Willesden Junction;-0.2478;51.5326;297;1.84;
12.39;Finsbury Park;-0.1065;51.5642;95;11.9;
3.67;Morden;-0.1948;51.4022;169;3.53;
1.42;Oakwood;-0.1318;51.6476;187;1.33;
4.61;Manor House;-0.0958;51.5712;160;4.6;
0.97;Buckhurst Hill;0.0471;51.6266;37;0.88;
0.99;Northwood;-0.424;51.6111;179;0.99;
6.85;East Ham;0.0518;51.5394;78;6.52;
0.39;Theydon Bois;0.1033;51.6717;255;0.35;
8.11;Warren Street;-0.1384;51.5247;276;7.58;
0.8;North Wembley;-0.3034;51.5621;185;0.77;
1.57;Stanmore;-0.3028;51.6194;242;1.45;
1.75;East Acton;-0.2474;51.5168;76;1.66;
10.73;Earl's Court;-0.1973;51.492;74;10.24;
2.83;Bounds Green;-0.1243;51.6071;31;2.76;
7.05;St. James's Park;-0.1335;51.4994;247;6.45;
1.1;Brent Cross;-0.2136;51.5766;34;1.11;
21.94;Picadilly Circus;-0.1342;51.5098;196;18.64;
1.26;Eastcote;-0.397;51.5765;75;1.18;
2.24;Edgware;-0.275;51.6137;81;2.13;
1.35;Wanstead;0.0288;51.5775;274;1.23;
2.57;Ladbroke Grove;-0.2107;51.5172;147;2.52;
1.74;Tufnell Park;-0.1374;51.5567;263;1.81;
0.72;Hillingdon;-0.4499;51.5538;125;0.68;
6.27;Seven Sisters;-0.0749;51.5822;223;6.26;
2.14;Stepney Green;-0.047;51.5221;243;2.24;
4.48;Canning Town;0.0082;51.5147;43;4.23;
1.63;High Barnet;-0.1943;51.6503;121;1.51;
5.82;Wood Green;-0.1097;51.5975;302;5.53;
1.5;Maida Vale;-0.1854;51.53;159;1.49;
2.59;Southgate;-0.128;51.6322;231;2.32;
0.83;West Acton;-0.2809;51.518;285;0.79;
11.17;Old Street;-0.0873;51.5263;188;9.87;
2.14;Gunnersbury;-0.2754;51.4915;108;2.25;
0.49;South Kenton;-0.3081;51.5701;236;0.47;
1.9;Cannon Street;-0.0904;51.5113;44;2.14;
0.85;West Ruislip;-0.4376;51.5696;293;0.79;
3.51;Swiss Cottage;-0.1738;51.5432;253;3.4;
0.31;Chesham;-0.611;51.7052;50;0.31;
11.54;Brixton;-0.1145;51.4627;35;10.97;
1.2;Pinner;-0.3805;51.5926;198;1.1;
2.45;Dagenham Heathway;0.1469;51.5417;67;2.26;
24.21;Canary Wharf;-0.0209;51.5051;42;22.38;
3.85;Kilburn;-0.2047;51.5471;142;3.67;
1.74;Kingsbury;-0.2786;51.5846;144;1.7;
2.95;Oval;-0.113;51.4819;190;2.9;
10.84;Knightsbridge;-0.1607;51.5015;146;9.86;
1.14;Dagenham East;0.1655;51.5443;66;1.08;
2.41;Borough;-0.0943;51.5011;29;2.16;
12.72;Tottenham Court Road;-0.131;51.5165;258;11.27;
1.52;Hainault;0.0933;51.603;109;1.43;
4.51;Hammersmith;-0.2251;51.4936;110;4.38;
2.05;Greenford;-0.3456;51.5423;105;1.9;
3.5;Hendon Central;-0.2259;51.5829;119;3.51;
4.46;Pimlico;-0.1334;51.4893;197;4.33;
5.14;Canada Water;-0.0502;51.4982;41;4.77;
1.36;Stonebridge Park;-0.2759;51.5439;245;1.23;
8.28;North Greenwich;0.0039;51.5005;183;7.42;
1.47;Westbourne Park;-0.2011;51.521;282;1.56;
1.57;Epping;0.1139;51.6937;88;1.53;
10.77;Westminster;-0.1254;51.501;284;10.0;
4.09;West Hampstead;-0.1906;51.5469;289;4.14;
5.79;Upton Park;0.0343;51.5352;269;5.23;
17.37;Holborn;-0.12;51.5174;126;14.61;
5.68;Euston Square;-0.1359;51.526;90;5.21;
11.93;Camden Town;-0.1426;51.5392;40;9.06;
1.89;Newbury Park;0.0899;51.5756;173;2.03;
1.6;Hounslow West;-0.3855;51.4734;132;1.58;
3.58;Great Portland Street;-0.1439;51.5238;104;3.59;
5.93;Wimbledon;-0.2064;51.4214;298;5.82;
44.74;Waterloo;-0.1143;51.5036;278;39.39;
3.01;Edgware Road (C);-0.17;51.5203;83;2.93;
1.94;Burnt Oak;-0.2641;51.6028;38;1.85;
1.51;Preston Road;-0.2954;51.572;201;1.45;
3.8;Mansion House;-0.094;51.5122;161;3.62;
4.51;Aldgate East;-0.0726;51.5154;3;4.65;
1.07;Hornchurch;0.2184;51.5539;129;0.91;
2.25;Hampstead;-0.178;51.5568;111;2.06;
1.77;West Ham;0.0056;51.5287;288;1.65;
2.83;Gants Hill;0.0663;51.5765;98;2.65;
0.88;Latimer Road;-0.2172;51.5139;150;0.82;
0.11;Roding Valley;0.0439;51.6171;214;0.11;
3.19;Clapham North;-0.1299;51.4649;55;2.63;
5.03;Fulham Broadway;-0.195;51.4804;96;4.53;
1.55;Alperton;-0.2997;51.5407;5;1.39;
0.84;Ruislip;-0.4213;51.5715;219;0.73;
1.04;Sudbury Hill;-0.3366;51.5569;250;0.97;
1.36;Neasden;-0.2503;51.5542;172;1.34;
39.59;King's Cross St. Pancras;-0.1238;51.5308;145;37.52;
2.65;Caledonian Road;-0.1188;51.5481;39;2.62;
24.89;Bank;-0.0886;51.5133;13;22.92;
2.35;Chalk Farm;-0.1538;51.5441;47;2.58;
2.49;Upminster;0.251;51.559;266;2.07;
0.65;Northwood Hills;-0.4092;51.6004;180;0.64;
7.9;Sloane Square;-0.1565;51.4924;228;7.04;
7.69;Bethnal Green;-0.0549;51.527;24;7.4;
34.26;London Bridge;-0.0864;51.5052;157;31.18;
3.3;Tooting Bec;-0.1598;51.4361;256;3.26;
1.43;Becontree;0.127;51.5403;21;1.33;
8.78;St. Paul's;-0.0973;51.5146;249;8.3;
2.63;Bow Road;-0.0247;51.5269;33;2.45;
1.79;Lambeth North;-0.1115;51.4991;148;1.71;
9.71;Notting Hill Gate;-0.1967;51.5094;186;7.65;
5.07;Turnpike Lane;-0.1028;51.5904;265;4.73;
1.68;Ealing Common;-0.2882;51.5101;73;1.57;
7.25;Gloucester Road;-0.1829;51.4945;99;6.91;
1.94;Northfields;-0.3142;51.4995;176;1.85;
2.12;Edgware Road (B);-0.1679;51.5199;82;1.94;
7.14;Barking;0.081;51.5396;15;6.81;
3.03;Parsons Green;-0.2011;51.4753;194;2.91;
2.86;Finchley Central;-0.1932;51.6012;93;2.63;
10.47;Vauxhall;-0.1253;51.4861;271;10.4;
8.55;Marble Arch;-0.1586;51.5136;162;8.33;
25.42;Stratford;-0.0042;51.5416;246;23.15;
4.02;White City;-0.2239;51.512;295;3.72;
2.9;Belsize Park;-0.1642;51.5504;22;2.85;
1.04;Royal Oak;-0.188;51.519;217;1.01;
0.82;Goldhawk Road;-0.2267;51.5018;101;0.78;
7.67;Russell Square;-0.1244;51.523;222;7.06;
3.65;Uxbridge;-0.4786;51.5463;270;3.26;
3.28;Blackhorse Road;-0.0417;51.5867;26;3.19;
1.49;Hatton Cross;-0.4227;51.4669;116;1.44;
1.59;Kew Gardens;-0.285;51.477;141;1.54;
